Unnamed: 0,animal_id,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,name
419,A817632,2020-06-09T08:44:00.000,2020-06-09T08:44:00.000,2015-10-21T00:00:00.000,Adoption,Foster,Dog,Neutered Male,4 years,Labrador Retriever/Belgian Malinois,Brown Brindle/White,Taco
420,A816738,2020-06-09T08:37:00.000,2020-06-09T08:37:00.000,2017-12-26T00:00:00.000,Adoption,Foster,Dog,Spayed Female,2 years,German Shepherd,Black/Brown,Katy
421,A817727,2020-06-09T08:32:00.000,2020-06-09T08:32:00.000,2020-03-26T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,
422,A681762,2020-06-09T08:23:00.000,2020-06-09T08:23:00.000,2014-02-09T00:00:00.000,Adoption,Foster,Dog,Neutered Male,6 years,Black Mouth Cur Mix,Brown/Black,Vero
423,A818267,2020-06-08T21:52:00.000,2020-06-08T21:52:00.000,2020-01-04T00:00:00.000,Adoption,,Dog,Spayed Female,5 months,Border Collie,Black/White,
424,A817979,2020-06-08T19:04:00.000,2020-06-08T19:04:00.000,2019-05-29T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,
425,A818083,2020-06-08T18:31:00.000,2020-06-08T18:31:00.000,2019-06-01T00:00:00.000,Adoption,,Dog,Neutered Male,1 year,Anatol Shepherd Mix,Tan,Turbo
426,A817760,2020-06-08T18:13:00.000,2020-06-08T18:13:00.000,2019-05-25T00:00:00.000,Return to Owner,,Dog,Neutered Male,1 year,Siberian Husky/German Shepherd,White,Achilles
427,A818298,2020-06-08T18:07:00.000,2020-06-08T18:07:00.000,2019-06-05T00:00:00.000,Adoption,,Dog,Spayed Female,1 year,Boxer Mix,Tan/Black,
428,A818079,2020-06-08T17:22:00.000,2020-06-08T17:22:00.000,2019-06-01T00:00:00.000,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Australian Shepherd,Brown/White,*Frankfort
429,A817206,2020-06-08T17:21:00.000,2020-06-08T17:21:00.000,2019-11-10T00:00:00.000,Adoption,,Dog,Neutered Male,6 months,German Shepherd/Boxer,Brown/Black,
